Business Name,Location,Post Code,Contact Name,Phone,Mobile,Fax
Chris L Gomez Electrics,Doreen VIC 3754,3754, Chris Gomez,,0437 181 095,
Tiger Electrical Services P/L,Berwick VIC 3806,3806, Mark Greene,,0408 651 112,
SOFtech Electrical,MOORABBIN VIC 3189,3189, Peter Sofra,0413 734 711,0413 734 711,
GILANA ELECTRICAL PTY LTD,FRASER RISE VIC 3336,3336,,0439 485 470,0439 485 470,
Reid Electrical Services Pty Ltd,DOREEN VIC 3754,3754, John Reid,0410 410 646,0410 410 646,
GBE ELECTRICAL SERVICES,DIAMOND CREEK VIC 3089,3089, Graeme Dowling,0491 081 269,0491 081 269,
Trotter Electrical Solutions,FITZROY NORTH VIC 3068,3068,,,0448 859 204,
Volt Tech Electrical,HADFIELD VIC 3046,3046, Joseph Nader,0421 987 668,0421 987 668,
Iteck Electrical Solutions,ASCOT VALE VIC 3032,3032, Wayne Scerri,0423 051 020,0423 051 020,
NJ Bailey & Co,Middle park VIC 3206,3206, Nick Bailey,,0418 534 471,
Sanjtrics Solutions Pty Ltd,Tarniet VIC 3029,3029, Sanj,,0423 877 348,
Intek Electrical,MAIDSTONE VIC 3012,3012,,0432 249 536,0432 249 536,
Innovative Electrics,MICKLEHAM VIC 3064,3064, Adrian Cachia,0421 856 327,0421 856 327,
Mistry Electricals,BURWOOD VIC 3125,3125,,0402 778 016,0402 778 016,
JW Trades,PRAHRAN VIC 3181,3181, Jordan White,0412 279 985,0412 279 985,
Local Electrician (AUS),BROADMEADOWS VIC 3047,3047, Local Electrican,0457 004 206,0409 429 122,
Discount LEDs Pty Ltd,MILL PARK VIC 3082,3082, Michael Solima,0402 266 733,0402 266 733,
Twigg Electrician,SOUTH MELBOURNE VIC 3205,3205, Tim Wigg,0417 117 029,0417 117 029,
MDF Jumpers,CARLTON VIC 3053,3053, Shaun L.,,0488 770 022,
Go Lightly Electrical Services,Eltham VIC 3095,3095, Trent Richardson,0499 882 211,0499 882 211,
Copper Road Electrical,Ascot Vale VIC 3032,3032, Benjamin Myers,0414 917 470,,
Mr Electric of Geelong,Geelong VIC 3220,3220,,,0433 534 922,
Beond Electrical Pty Ltd,Epping  VIC 3076,3076,,,0421 773 922,
City Sparks Solutions,FITZROY NORTH VIC 3068,3068,,0401 282 094,,
Jess Elec,FITZROY NORTH VIC 3068,3068,,0432 438 925,0432 438 925,
BM Electrical Group,Melbourne VIC 3121,3121,,,0447 212 100,
Pearce Technologies,Port Melbourne VIC 3207,3207,,0400 228 669,,
VicSpark,PORT MELBOURNE VIC 3207,3207, Matthew Gangi,0432 621 451,0432 621 451,
OZ AIR GROUP,Ivanhoe North VIC 3079,3079,,1300 069 247,0418 711 484,
Electrifiable,Richmond VIC 3121,3121, Christopher,,0402 377 917,
PERPETUAL SERVICES GROUP PTY LTD,WARRANWOOD VIC 3134,3134, Josh Mackinnon,0413 512 819,0413 512 819,
TLC,RICHMOND VIC 3121,3121,,0405 057 335,0405 057 335,
NPJ ELECTRICAL PTY LTD,RICHMOND VIC 3121,3121, James Nedy,0414 157 006,0414 157 006,
The Ultimate Appliance & Air Conditioning,,,,,0418 350 450,
Melbourne Central Electrical,,,,,0408 179 344,
Priority One Cooling and Electrical,St Kilda West VIC 3182,3182,,,0420 228 873,
Trend Electrics,"45 Mincha AVE, Templestowe Lower VIC 3107",3107,,(03) 9850 7241,0417 566 929,(03) 9850 8319
Nashcon Electrical pty ltd,Coburg VIC 3058,3058, Elias El-Nashar,,0411 539 725,
Powerup Express,St Kilda West VIC 3182,3182, Joseph Slatter,0498 545 788,0498 545 788,
Hitek Electrics,MALVERN EAST VIC 3145,3145, Daniel Strangio,0418 332 861,0418 332 861,
EV-electrix,CAULFIELD VIC 3162,3162,,0407 548 532,0407 548 532,
PLUTO ELECTRICAL AND APPLIANCE SERVICES,MILL PARK VIC 3082,3082,,,0423 364 503,
Always Prompt Appliance Repairs,Brisbane QLD 4000,4000,,(07) 3063 7610,,
Southside Electrical Fitters,Slacks Creek QLD 4127,4127,,,0450 767 987,
Wayne Heydon Electrical,Springwood QLD 4127,4127,,,0432 685 965,
Speedy Electrical,,,,(07) 3882 6996,0407 257 239,
O'Brien Electrical and Plumbing Coopers Plains,"63 RICHLAND AVE, Coopers Plains, QLD 4108",4108, Administration Officer,32777345,,
All Around Electrical,Holmview QLD 4207,4207, Flavius Corchis,0449 558 575,0420 660 002,
Robs Bright Spark Contracting,Brisbane QLD 4000,4000,,0413 025 324,0413 025 324,
Icebolt Electrical,Cornubia QLD 4130,4130, Stuart Helmreich,,0435 205 708,
JWZ Electrical,TINGALPA QLD 4173,4173, Wayne Zuidam,0414 777 341,0414 777 341,
SDG Communications & Electrical,Capalaba QLD 4157,4157, Sean Gummerson,,0421 559 571,
BJB Electrical,Gaythorne QLD 4051,4051, Levi Beel,0400 107 360,,
Active Electrical Industries,Boondall QLD 4034,4034, Damien Bunt,,0411 094 402,
VOGUE Electrical Industries,SEVENTEEN MILE ROCKS QLD 4073,4073, Ross Tierney,(07) 3108 4872,0481 178 529,
Hari Electrical & Air Conditioning,MARSDEN QLD 4132,4132,,0434 637 593,0434 637 593,
KEITH ELECTRICAL AND AIR CONDITIONING,"22 Ergret AVE, Woombye QLD 4559",4559, Keith Ladley,,0400 222 740,
MAXAM ELECTRICAL PTY LTD,KANGAROO POINT QLD 4169,4169, Max Humphreys,0413 589 613,,
Volt connect electrical,SPRINGFIELD QLD 4300,4300,,0431 344 665,0431 344 665,
Watts Good Electrical,Mount Gravatt QLD 4122,4122, Aaron Mcmenemy,0437 301 874,0437 301 874,
Hotwired Electrical,Paddington QLD 4064,4064, Simon Anderson,,0488 180 037,
Power Point Electrical and Appliance,New Farm 4005,4005, Simon Donnelly,0468 529 335,,
Aztech Electrical,Red Hill QLD 4059,4059, Kurt Hayward,,0458 678 154,
NNC Electrical,Margate QLD 4019,4019, Sean Pembroke,,0432 110 115,
Cheyne Smith Electrical Contractor,Kangaroo Point QLD 4169,4169, Cheyne Smith,0411 877 780,0411 877 780,
Wade Harrison Electrical,Wooloowin QLD 4030,4030,,,0405 576 474,
EMF ELECTRICAL INDUSTRIES PTY LTD,Wooloowin QLD 4030,4030, Danilo Rossomando,,0411 029 217,
AJ Palmer Electrical,,,,(07) 3357 4646,0411 553 598,
NEXX ELECTRICAL SOLUTIONS,WOOLLOONGABBA QLD 4102,4102, Luke Pimley,0411 612 490,0411 612 490,
Northside Electrical & Security,ALDERLEY QLD 4051,4051, Andrija Dretvic,,0452 615 616,
Platinum Electrical & Air,ENOGGERA QLD 4051,4051,,1300 606 380,0437 187 046,
Orange Electrical Contracting,HENDRA QLD 4011,4011,,0408 714 337,0408 714 337,
Lead Electrical Qld,Coorparoo QLD 4151,4151, Nicholas Valdez,,0432 294 287,
N & C Contracting Pty Ltd,"11 Barnstos Place, 11 Barnstos PL, Carindale QLD 4152",4152, Neil Connor,,0418 781 489,
Wilson Emergency Lighting,Bulimba QLD 4171,4171,,0403 738 444,,
3Pin Electrical Pty Ltd,Virginia QLD 4014,4014, Paul Driutti,,0439 983 911,
Amplify Electrical Pty Ltd,"2/21 HUGO PL, MANSFIELD QLD 4122",4122, Shane Hoffman - Director,1300 795 516,0409 275 830,
Safe 1 Electrical,MANSFIELD QLD 4122,4122, Alex South,0458 857 884,0458 857 884,
Clean Energy Electrical QLD,HENDRA QLD 4011,4011, Christopher Franich,0477 257 599,0477 257 599,
Andev Electrical Services,Stafford Heights QLD 4053,4053,,0424 009 650,0424 009 650,
Mayo Solutions,COORPAROO QLD 4151,4151,,0401 669 900,0401 669 900,
Instroworx Pty Ltd,INDOOROOPILLY QLD 4068,4068,,,0405 525 264,
Electrum Electrical,INDOOROOPILLY QLD 4068,4068,,0406 010 456,,
Andrew Mellor Electrical,,, Andrew,,0422 117 559,(07) 3300 2810
Michael Carter Electrical,,, Michael Carter,,0417 763 320,
365 Power,Holland Park QLD 4121,4121, Mike Maclean,,0412 138 202,
Enviren,Bulimba QLD 4171,4171,,1300 300 027,0404 125 482,(07) 3899 8486
iLIKE Electric Pty Ltd,Stafford Heights QLD 4053,4053, Todd Cullen,,0400 503 851,
Telcro Electrical,Wavell Heights QLD 4012,4012, John Crooks,,0417 632 920,
Auscan Services,Upper Kedron QLD 4055,4055, David Weller,0400 641 432,,
Eversafe Electrical and Maintenance,Everton Park QLD 4053,4053,,,0435 950 931,
"JFK Electrical,Solar and Air","3/37 Panton rd, 37 Panton RD, Greenfields WA 6210",6210,,(08) 9500 5850,0406 082 418,
3G Electrical,Ballaajura WA 6066,6066, Mark Goldberg,,0418 942 337,
ScottComms,"24, 12 Cowcher PL, BELMONT WA 6104",6104, Thomas Scott,,(08) 6107 4553,
FM Power and Communications Pty Ltd,CLARKSON WA 6030,6030,,0414 199 544,,
Hilton Plumbing & Electrical,BIBRA LAKE WA 6163,6163, Meagan Doull,0400 038 694,0400 038 694,
AAA Essential Electrical Services,QUEENS PARK WA 6107,6107, Anish Abrahamz,0427 846 329,0427 846 329,
Inlightec Electrical Solutions,STIRLING WA 6021,6021, Jean Hatangimana,0481 179 667,0481 179 667,
GL Lightning Pty Ltd,Innaloo WA 6018,6018, Geoffrey Lake,,0421 158 149,
Ashton Gate Electrical,"54 Farnley ST, Mount Lawley WA 6050",6050, Neil Tudor,,0409 104 554,
Renegade Electrical and Communications,Mount Lawley WA 6050,6050, James Sanderson,,0429 622 344,
The Wire Guy,Balcatta WA 6021,6021, Michael Patterson,0407 228 872,0407 228 872,
Diamond Dog Electrics,Mullaloo WA 6027,6027, Sheamus Rooney,0406 160 781,0416 850 018,
Switch Wire Electrics,Ferndale WA 6148,6148, Sean Henry,,0409 205 776,
Brillare Pty Ltd,BELMONT WA 6104,6104, Stefano Bucco,0414 281 438,0414 281 438,
Powertek Electrical Contracting,"58-64 Furnace RD, welshpool WA 6106",6106, James Lawless,,0447 654 741,
Dominic Deland Electrical Contractor,Victoria Park WA 6100,6100, Dominic Deland,,0419 105 809,
Westaus Electrical Services Pty.Ltd,Mindarie WA 6030,6030,,,0429 009 427,
Raiden Electrical And Maintenance Services,Victoria Park WA 6100,6100, Lakshmen Jeeva,,0405 058 764,
REST Contractors Pty Ltd,Karrinyup WA 6018,6018, Darren Rudrum,,0412 111 188,
Lantern Light Electrical,Clarkson WA 6030,6030, Stephen Weir,,0403 665 112,
Tick Electrical Services,Canning Vale WA 6155,6155,,,0481 144 428,
Antonelli Electrical,Yokine WA 6060,6060, Fabio Antonelli,,0403 518 121,
"Dorrington Plumbing, Gas & Electrical Pty Ltd",,,,(08) 9387 2339,,
Sayers Electrical,Wembley WA 6014,6014, Jason Sayers,0491 222 543,,
Electrotech Cabling Solutions,Osbourne park WA 6017,6017, Brad Davis,,0419 819 190,
Connected Earth Electrical,EAST VICTORIA PARK WA 6101,6101, Ross Henry,0423 759 476,0423 759 476,
ELECTRIFY WA,FLOREAT WA 6014,6014, AARON McDonald,0410 558 560,0410 558 560,
Sagitech Pty Ltd,Rockingham WA 6168,6168, Paul Young,0420 301 170,0420 301 170,
Megatech Electrical Service,,, Shane Forslun,0417 950 372,0417 950 372,(08) 9377 2387
"OUR Air-Conditioning, Electrical & Plumbing","14 Preston Street, 14 Preston ST, Como WA 6152",6152,,,,
Malone Electrical,"5 Miami Beach PRM, Iluka WA 6028",6028, Frank Malone,(08) 9305 3974,0417 940 380,
Handy Swanny Electrical Services,"9 Geneff ST, Innaloo WA 6018",6018, Clive Swanson,0437 700 310,0437 700 310,
Alpine Aircon and Electrical,Nollamara WA 6061,6061,,,0455 868 500,
City Beach Electrical,City Beach WA 6015,6015, Michael Allen,,0438 307 838,
M J Smith Electrical Solutions,Karrinyup WA 6018,6018, Michael Smith,0412 847 925,0412 847 925,
Citywire Electric,Doubleview WA 6018,6018,,0409 782 747,0409 782 747,
Setanta Electrical Services,BALCATTA WA 6021,6021,,0400 666 823,0400 666 823,
Nexus Electrical Co,BALCATTA WA 6021,6021,,0449 574 575,0449 574 575,
ARD Electrical Services,WESTMINSTER WA 6061,6061,,,0422 539 507,
Central Electrical and Air,Sterling WA 6021,6021, Anthony Rossi,0447 798 681,0447 798 681,
Alpha Power,Scarborough WA 6019,6019,,,0417 811 116,
Excellence Electrical WA,SCARBOROUGH WA 6019,6019, Joel Mancuso,,,
Balbiri Pty Ltd t/a Beacon Power,NORTH BEACH WA 6020,6020, Michael Tamai,0437 206 607,0437 206 607,
GREENER RACE,Bassendean WA 6054,6054, Troy Wedgewood,0490 046 801,0490 046 801,
Navrep Electrical,WEMBLEY DOWNS WA 6019,6019,,,0423 181 014,
Powerflex,Hamersley WA 6022,6022, Russell,0418 294 108,0418 294 108,
In Effect Electrical,,, Keith Geary,0415 235 952,0415 235 952,(08) 9378 6796
Cubed Technologies,Belmont WA 6104,6104, Curtis Cumine,0430 619 805,0430 619 805,
Perth Expo,BELMONT WA 6104,6104,,0415 150 200,0415 150 200,
Apollo Lighting Service Pty Ltd,"Unit 2, 4 Manton ST, Hindmarsh SA 5007",5007,,(08) 8241 7770,,
Hentec Pty Ltd,"296 Henley Beach RD, Underdale SA 5032",5032, Dan Henwood,(08) 8349 0881,0408 541 995,
Newlight Electric,Reynella East SA 5161,5161,,,0439 412 010,
NCIS Electrical,Edwardstown SA 5039,5039,,,0439 814 656,
LJH electrical solutions,ALDINGA BEACH SA 5173,5173, Leith,0432 671 220,0432 671 220,
THG Electrical,"Keswick, 41 Kent RD, KESWICK SA 5035",5035, Josh Gricks,(08) 8293 3758,(08) 8293 3758,
Adelaide Electrical Group,RICHMOND SA 5033,5033, Jonathon Danopoulos,0431 095 274,0431 095 274,
VOLTECH SERVICES PTY LTD,ST MARYS SA 5042,5042, Sean Greer,(08) 7089 3997,0411 776 242,
Delight Electrical,Glanville SA 5000,5000,,,0474 267 059,
Down South Electrical,,,,,0429 302 674,
Elite Electrical & Home Maintenance Service,Wynn Vale SA 5127,5127, Kevin Marko,,0433 364 756,
Light Power Data,Magill SA 5072,5072, Ben Krieg,0400 993 793,0400 993 793,
Powerhouse electrical & data solutions,greenwith SA 5125,5125, Shaun Pinder,0449 951 663,,
Australian Professional Electrical Services,Park Holme SA 5043,5043, David Rowe,,0411 056 276,
SPS Electrical Contracting,Tooperang SA 5255,5255, Simon Sweeney,,0437 647 149,
Dwyer Electrical Services,MAWSON LAKES SA 5095,5095, Barry Dwyer,,0448 769 263,
Armed Electrical Services,Greenwith SA 5125,5125,,,0405 118 000,
L.A.M.M. Electrical,Hallett Cove SA 5158,5158, Lewis May,,0424 288 901,
Smart Switch Electrical,"Unit 9, 60-66 Richmond RD, Keswick SA 5035",5035, Paul McCarron,1300 399 300,0411 028 891,
Ken Hall Plumbers,ROSE PARK SA 5067,5067, Michael,,0401 133 183,
Eastern Electrical & Maintenance,Kings Park SA 5034,5034,,,0416 831 931,
David Dewhurst Electrical,,,,,0411 866 199,(08) 8278 9239
Sharpe Group,THEBARTON SA 5031,5031, Sharpe Group,13 17 50,,
City And Sea Electrical,NORWOOD SA 5067,5067, Jake Galloway,0428 498 202,0428 498 202,
Jack Vagnarelli,MILE END SA 5031,5031, Jack Vagnarelli,0431 244 630,0431 244 630,
Adam Blackwood Electrical,CLAPHAM SA 5062,5062,,,0421 127 231,
Geoff Sorrell,,,,,0413 878 306,
TSK Enterprises T/a Tims Electrical & Airconditioning,Welland SA 5007,5007, Tim Kartsonis,(08) 8340 9811,0408 840 479,
Renelec Electrical Services,,, Marcus Renwick,,0423 213 815,
Cavelec Solutions,BROMPTON SA 5007,5007,,0455 990 267,0455 990 267,
Pure Built Services,FELIXSTOW SA 5070,5070, Alf Carubia,0419 038 747,0419 038 747,
Outpulse Electrical,NETLEY SA 5037,5037, Joshua Tanilon,0412 369 522,0412 369 522,
The Adelaide Electrical Co,KENSINGTON GARDENS SA 5068,5068, Rodney Gollan,0415 133 732,0415 133 732,
Bosco Electrical,MARDEN SA 5070,5070,,0438 885 250,0438 885 250,
Lynch Elec,Glenelg North SA 5045,5045, Rian Lynch,,0428 946 318,
Amazing Great Technology Pty Ltd,Melrose Park SA 5039,5039,  Erick Chua,,0432 426 768,
Finesse Electrical Works,Underdale SA 5032,5032, Matthew Black,0430 488 117,0430 488 117,
Asafe electrical oz,DEVON PARK SA 5008,5008, Michael Branch/Justin Hall,0405 396 904,0417 164 446,
AJG ELECTRICAL,CROYDON PARK SA 5008,5008, Adrian Giacomelli,0401 578 814,0401 578 814,
Empire Electrical SA,Croydon Park SA 5008,5008,,,0457 285 747,
ANDREW LAWSON ELECTRICAL,"16 Waverley ST, Mitcham SA 5062",5062, Karen Lawson,,0409 789 808,
Pbn Electrical Pty Ltd,Beverley SA,y SA,,(08) 8345 0366,,088**** 
Sun fussion,Adelaide SA 5087,5087, Kris Nenov,(08) 8367 5078,0430 509 086,(08) 8367 5079
Vas Power Electrical,Plympton Park SA 5038,5038, Vasilaki Georgiou,,0423 454 552,
JP Solar and Electrical,BEVERLEY SA 5009,5009, Jarrad Pangrazio,0431 022 034,0431 022 034,
ECO Lighting & Electrical,,, Mark Stanway,,0438 246 800,
Total Power Installations,Rostrevour SA 5073,5073,,,0411 084 889,
VQ Electrical Service,Pennington SA 5013,5013,,,0422 297 267,
LDP Electrical,Campbelltown SA 5074,5074, Lawrence Dipalma,0413 521 299,0413 521 299,
Andrew Belsak Electrical & Air Conditioning,GREENACRES SA 5086,5086, Andrew Belsak,0448 458 975,0448 458 975,
Adelaide Electrical Express,Campbelltown SA 5074,5074, Michael Forte,0401 355 620,0401 355 620,
LTR Electrical,Seaton SA 5023,5023, Luke,0430 097 154,0430 097 154,
KDis Electrical and Airconditioning Services,Mawson Lakes SA 5095,5095,,,0449 892 978,
Bhullar Electricals And Solar,HECTORVILLE SA 5073,5073, Amandeep Bhullar,0457 525 253,0457 525 253,
PJ Electrical Solar,Fulham SA,m SA,,1300 130 546,,
Amella Electrical,Mcgill SA 5072,5072, Nathan Vagg,,0429 894 888,
